,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
65,Maruti Suzuki,Celerio X,Vxi Amt (O),"Rs. 5,24,074",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Automatic,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
66,Maruti Suzuki,Celerio X,Zxi,"Rs. 4,99,734",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS IV,Driver frontal airbag,Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
67,Maruti Suzuki,Celerio X,Zxi (O),"Rs. 5,40,350",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
68,Maruti Suzuki,Celerio X,Zxi Amt,"Rs. 5,42,735",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS IV,Driver frontal airbag,Automatic,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
69,Maruti Suzuki,Celerio X,Zxi Amt (O),"Rs. 5,52,350",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Automatic,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,"Rs. 7,13,898",1197 cc,Petrol,Hatchback,20.89 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",AMT,,,,83PS@6000rpm,113Nm@4200RPM
71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,"Rs. 6,66,898",1197 cc,Petrol,Hatchback,20.89 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,83PS@6000rpm,113Nm@4200RPM
72,Maruti Suzuki,Ignis,Delta 1.2 Amt,"Rs. 6,07,841",1197 cc,Petrol,Hatchback,20.89 km/litre,20.89 km/litre,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",AMT,,,,83PS@6000rpm,113Nm@4200RPM
73,Maruti Suzuki,Ignis,Delta 1.2 Mt,"Rs. 5,60,841",1197 cc,Petrol,Hatchback,20.89 km/litre,20.89 km/litre,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,83PS@6000rpm,113Nm@4200RPM
74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,"Rs. 4,83,320",1197 cc,Petrol,Hatchback,20.89 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,83PS@6000rpm,113Nm@4200RPM
75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,"Rs. 6,30,320",1197 cc,Petrol,Hatchback,15.1 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",AMT,,,,83PS@6000rpm,113Nm@4200RPM
76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,"Rs. 5,83,320",1197 cc,Petrol,Hatchback,20.89 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,83PS@6000rpm,113Nm@4200RPM
77,Renault,Triber,Rxe,"Rs. 4,95,000",999 cc,Petrol,MUV,,,,August,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,72PS@62050rpm,96Nm@3500rpm
78,Renault,Triber,Rxl,"Rs. 5,59,000",999 cc,Petrol,MUV,,,,August,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,72PS@62050rpm,96Nm@3500rpm
79,Renault,Triber,Rxt,"Rs. 6,09,000",999 cc,Petrol,MUV,,,,August,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,72PS@62050rpm,96Nm@3500rpm
